Date,Open,High,Low,Close,Adj Close,Volume
29/06/2010,1.266667,1.666667,1.169333,1.592667,1.592667,281494500
30/06/2010,1.719333,2.028,1.553333,1.588667,1.588667,257806500
01/07/2010,1.666667,1.728,1.351333,1.464,1.464,123282000
02/07/2010,1.533333,1.54,1.247333,1.28,1.28,77097000
06/07/2010,1.333333,1.333333,1.055333,1.074,1.074,103003500
07/07/2010,1.093333,1.108667,0.998667,1.053333,1.053333,103825500
08/07/2010,1.076,1.168,1.038,1.164,1.164,115671000
09/07/2010,1.172,1.193333,1.103333,1.16,1.16,60759000
12/07/2010,1.196667,1.204667,1.133333,1.136667,1.136667,33037500
13/07/2010,1.159333,1.242667,1.126667,1.209333,1.209333,40201500
14/07/2010,1.196,1.343333,1.184,1.322667,1.322667,62928000
15/07/2010,1.329333,1.433333,1.266667,1.326,1.326,56097000
16/07/2010,1.38,1.42,1.336667,1.376,1.376,39319500
19/07/2010,1.424667,1.483333,1.394667,1.460667,1.460667,37297500
20/07/2010,1.456667,1.456667,1.336667,1.353333,1.353333,27379500
21/07/2010,1.377333,1.393333,1.3,1.348,1.348,18787500
22/07/2010,1.366667,1.416667,1.358,1.4,1.4,14367000
23/07/2010,1.412667,1.437333,1.404,1.419333,1.419333,9804000
26/07/2010,1.433333,1.433333,1.353333,1.396667,1.396667,13833000
27/07/2010,1.394,1.412,1.350667,1.37,1.37,9295500
28/07/2010,1.37,1.393333,1.367333,1.381333,1.381333,7008000
29/07/2010,1.384667,1.392,1.333333,1.356667,1.356667,9240000
30/07/2010,1.346667,1.362667,1.303333,1.329333,1.329333,6403500
02/08/2010,1.366667,1.398,1.355333,1.394667,1.394667,10771500
03/08/2010,1.4,1.463333,1.388,1.463333,1.463333,18457500
04/08/2010,1.463333,1.478667,1.39,1.417333,1.417333,13695000
05/08/2010,1.436,1.436667,1.336667,1.363333,1.363333,11943000
06/08/2010,1.34,1.344,1.301333,1.306,1.306,11128500
09/08/2010,1.326667,1.332,1.296667,1.306667,1.306667,12190500
10/08/2010,1.31,1.31,1.254667,1.268667,1.268667,19219500
11/08/2010,1.246,1.258667,1.19,1.193333,1.193333,11964000
12/08/2010,1.186667,1.193333,1.159333,1.173333,1.173333,10365000
13/08/2010,1.212,1.23,1.177333,1.221333,1.221333,9510000
16/08/2010,1.23,1.253333,1.217333,1.252,1.252,7287000
17/08/2010,1.264,1.293333,1.252,1.276667,1.276667,6718500
18/08/2010,1.306,1.306,1.24,1.251333,1.251333,9019500
19/08/2010,1.236,1.283333,1.222,1.252667,1.252667,8686500
20/08/2010,1.243333,1.274,1.234,1.273333,1.273333,4440000
23/08/2010,1.272667,1.359333,1.266667,1.342,1.342,16321500
24/08/2010,1.283333,1.314,1.263333,1.28,1.28,10096500
25/08/2010,1.277333,1.332,1.237333,1.326667,1.326667,7549500
26/08/2010,1.326,1.351333,1.306667,1.316667,1.316667,6507000
27/08/2010,1.316667,1.324667,1.3,1.313333,1.313333,5694000
30/08/2010,1.313333,1.346,1.307333,1.324667,1.324667,10992000
