insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (1, 12, 8, 2022, 4, 1, 15, 43);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (2, 7, 7, 2022, 1, 1, 15, 41);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (3, 11, 8, 2021, 2, 2, 17, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (4, 28, 3, 2024, 1, 1, 2, 50);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (5, 7, 12, 2022, 1, 1, 5, 23);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (6, 22, 5, 2022, 2, 2, 4, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (7, 7, 10, 2023, 3, 1, 13, 14);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (8, 12, 3, 2021, 2, 1, 13, 38);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (9, 25, 8, 2021, 2, 1, 16, 27);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (10, 29, 11, 2024, 1, 1, 19, 18);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (11, 24, 2, 2019, 2, 2, 14, 11);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (12, 15, 6, 2024, 4, 1, 11, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (13, 4, 4, 2020, 4, 2, 9, 36);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (14, 26, 5, 2020, 4, 1, 17, 0);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (15, 13, 10, 2019, 4, 1, 6, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (16, 21, 10, 2023, 3, 2, 10, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (17, 8, 2, 2022, 1, 2, 7, 42);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (18, 31, 4, 2023, 3, 1, 3, 19);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (19, 20, 2, 2020, 2, 1, 19, 39);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (20, 17, 7, 2020, 2, 1, 3, 11);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (21, 20, 5, 2024, 1, 2, 7, 3);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (22, 3, 12, 2024, 1, 2, 6, 26);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (23, 10, 9, 2019, 1, 2, 22, 16);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (24, 10, 6, 2024, 4, 2, 11, 35);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (25, 5, 2, 2020, 3, 2, 20, 54);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (26, 9, 1, 2023, 4, 1, 3, 52);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (27, 19, 5, 2022, 1, 1, 1, 23);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (28, 5, 2, 2019, 3, 2, 17, 20);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (29, 18, 5, 2024, 3, 1, 18, 17);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (30, 8, 3, 2021, 2, 1, 1, 28);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (31, 4, 7, 2022, 1, 2, 7, 8);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (32, 6, 5, 2024, 4, 2, 10, 42);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (33, 1, 12, 2023, 2, 1, 20, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (34, 26, 11, 2021, 2, 1, 9, 19);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (35, 31, 4, 2023, 3, 2, 14, 17);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (36, 4, 3, 2019, 3, 2, 13, 46);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (37, 27, 6, 2020, 4, 2, 17, 0);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (38, 20, 3, 2024, 1, 2, 18, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (39, 8, 4, 2023, 3, 2, 3, 51);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (40, 7, 7, 2024, 3, 2, 14, 14);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (41, 22, 11, 2022, 3, 2, 0, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (42, 8, 12, 2024, 3, 2, 3, 42);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (43, 26, 3, 2021, 4, 1, 22, 18);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (44, 9, 5, 2021, 4, 2, 20, 15);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (45, 29, 7, 2021, 3, 2, 1, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (46, 4, 12, 2024, 4, 1, 17, 23);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (47, 19, 12, 2023, 3, 1, 5, 35);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (48, 18, 3, 2022, 3, 1, 19, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (49, 12, 9, 2023, 2, 2, 1, 19);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (50, 27, 3, 2023, 2, 1, 6, 50);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (51, 26, 3, 2023, 3, 1, 23, 15);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (52, 28, 2, 2024, 3, 1, 10, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (53, 19, 2, 2019, 4, 1, 0, 56);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (54, 11, 10, 2023, 1, 2, 4, 35);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (55, 8, 9, 2019, 2, 2, 7, 4);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (56, 3, 11, 2024, 3, 1, 6, 58);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (57, 26, 12, 2019, 3, 2, 23, 12);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (58, 20, 2, 2023, 1, 2, 2, 46);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (59, 24, 9, 2022, 4, 2, 9, 18);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (60, 6, 6, 2019, 3, 1, 10, 40);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (61, 30, 4, 2022, 4, 2, 20, 33);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (62, 11, 2, 2023, 3, 1, 20, 56);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (63, 20, 12, 2019, 4, 2, 15, 59);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (64, 2, 9, 2024, 1, 2, 21, 36);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (65, 12, 11, 2021, 3, 1, 1, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (66, 17, 4, 2021, 3, 1, 20, 30);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (67, 23, 2, 2019, 1, 2, 8, 45);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (68, 2, 10, 2024, 2, 1, 11, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (69, 1, 5, 2021, 3, 1, 2, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (70, 30, 12, 2021, 4, 1, 17, 54);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (71, 25, 8, 2021, 3, 2, 7, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (72, 20, 12, 2023, 2, 1, 12, 47);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (73, 17, 6, 2023, 2, 1, 21, 24);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (74, 21, 5, 2023, 2, 1, 1, 25);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (75, 15, 7, 2023, 1, 2, 16, 0);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (76, 10, 6, 2024, 4, 2, 17, 52);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (77, 28, 10, 2024, 4, 1, 21, 31);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (78, 24, 7, 2020, 4, 1, 23, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (79, 27, 3, 2019, 3, 2, 5, 43);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (80, 9, 10, 2019, 4, 2, 19, 37);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (81, 23, 4, 2024, 2, 1, 5, 33);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (82, 27, 6, 2024, 3, 1, 15, 23);
